date,symbol,close,adj_close,price_used,price_basis,sma_50,sma_200,ema_20,macd,macd_signal,macd_histogram,volume,rsi_14,volume_avg_20,volume_spike_ratio,volume_spike,ema_20_reclaim,screen_rule_pass
2025-11-28,ABG.JO,20828.00,20828.00,20828.00,adj_close,19544.80,,20455.03,395.70,416.61,-20.90,5448536.00,61.31,2928300.25,1.86,spike,false,
2025-12-01,ABG.JO,21108.00,21108.00,21108.00,adj_close,19599.12,,20517.22,400.02,413.29,-13.27,3125967.00,65.22,2999237.15,1.04,normal,false,
2025-12-02,ABG.JO,21160.00,21160.00,21160.00,adj_close,19660.30,,20578.43,402.99,411.23,-8.24,2420309.00,65.91,2986916.15,0.81,normal,false,
2025-12-03,ABG.JO,21703.00,21703.00,21703.00,adj_close,19727.02,,20685.53,444.05,417.79,26.25,4611119.00,72.12,3073769.25,1.50,spike,false,
2025-12-04,ABG.JO,21600.00,21600.00,21600.00,adj_close,19798.44,,20772.63,462.93,426.82,36.11,4118111.00,69.53,3139272.30,1.31,normal,false,
2025-12-05,ABG.JO,21659.00,21659.00,21659.00,adj_close,19869.62,,20857.04,477.16,436.89,40.27,2183183.00,70.19,3163015.15,0.69,normal,false,
2025-12-08,ABG.JO,22210.00,22210.00,22210.00,adj_close,19953.54,,20985.90,526.83,454.88,71.95,6686778.00,75.52,3372721.75,1.98,spike,false,
2025-12-09,ABG.JO,22560.00,22560.00,22560.00,adj_close,20042.56,,21135.81,587.65,481.43,106.22,4192483.00,78.19,3446276.65,1.22,normal,false,
2025-12-10,ABG.JO,22637.00,22637.00,22637.00,adj_close,20129.28,,21278.78,634.76,512.10,122.66,2710900.00,78.74,3459374.35,0.78,normal,false,
2025-12-11,ABG.JO,22619.00,22619.00,22619.00,adj_close,20210.54,,21406.42,662.99,542.28,120.71,2981644.00,78.24,3424840.65,0.87,normal,false,
2025-12-12,ABG.JO,22796.00,22796.00,22796.00,adj_close,20288.76,,21538.76,691.67,572.16,119.52,2314902.00,79.60,3334746.35,0.69,normal,false,
2025-12-15,ABG.JO,23200.00,23200.00,23200.00,adj_close,20371.26,,21696.98,738.49,605.42,133.07,2421033.00,82.32,3258004.20,0.74,normal,false,
